title,url,hint,hint_reasons,tags,description,keep,notes
#EscapeRoomSim - Alpha Access,https://the-takecaker.itch.io/lost-in-the-escaperooms-demo,KEEP,+death,,"Please consider donating money! If we raise $100, we can publish it on Steam when it's released in Early Access! Â»â Safe Â»â Unstable Â»â Devoid of Entities Lost In the EscapeRooms is a Backrooms game 100% faithful to the fandom Description _____________________________________________ Lost In the EscapeRooms is in Demo mode. This is a free demo. This game aims to be the most realistic backroom game to date and currently only has Level 0 . First image Of Level 0 In Lost In the EscapeRooms , ",,
#hasicontent,https://lu-bu.itch.io/hasicontent,REMOVE,"-cute,chill",,"Hasi noun [colloq.] German for Bunny #hasicontent is a micro-game about taking photos of wild Bunnys in your garden for your friends on Instagram. Carrots bring all the bunnys to the yard, but they cost you 100 likes. But the Bunnys will tell their friends and more show up in the future. The game has no goal. Just watch cute Bunnys for one or two minutes and give them carrots. They'll love it :) Controls: Move the camera with the Arrow-keys Snap photos with X Throw a carrot with C Behind the gam",,
(Not Escape Room),https://pungocorp.itch.io/not-escape-room,?,,,"A long time after the 2000s WHEN the Earth is being ruled (invaded)  by powerful (rogue) AI. 3 human beings are thrown into a room where there is no escape. (Or there might be some escape, instructions were unclear on that.) They trying  to (struggle) adjust to life in a one-roomed house (imprisonment) while they live according to MY RULES. The Mighty AI, Ruler of Prisons, Tormentor of Minds, Inventor of Impossible Puzzles … Come join me at this show where we take joy from othersâ sufferings a",,
(PC) Headlong Racing,https://psychicparrot.itch.io/headlong-racing,REMOVE,-racing game,,"This was the first PC game I released myself and, well, yeah it looks dated and it's a bit rough around the edges but I think it's still really fun. It's 8 years old and the physics are admittedly a bit dodgy but if you like zero budget racing games and you don't expect AAA quality, you might enjoy unlocking everything :) Anyway, here's the spiel that went with the original: Jump a super car at 100mph, crash a monster truck in a forest, drive a dumper truck through the power station or drive a c",,
(PCOUYA) My Nuclear Octopus,https://psychicparrot.itch.io/my-nuclear-octopus,?,,,"If you need constant rewards, endless powerups, crisp vector graphics, achievements, online challenges, multiplayer or 3d.. this is not the game you are looking for. On the other hand, if you love old style, pure of heart out-and-out arcade gaming, you and My Nuclear Octopus may just be on the verge of a beautiful friendship. NOTE: This version is different to the one on Steam, in that it doesn't include an online leaderboard. Features: ** NOW INCLUDES OUYA APK SIDELOADABLE VERSION!!!  ** Now in",,
",,,softfriends,,,",https://thnewlands.itch.io/softfriends,KEEP,+adventure game,,",,,softfriends,,, is a textural adventure game focused on meditative close looking. Players traverse a gentle landscape by uniting deformations in its surface. This is the second public build of ,,,softfriends,,,! '''''''''''''''''''''''''''''''''''''''''''''''''''''''''' To play you only need to know that each joystick of your controller moves its respective deformation. ,,,softfriends,,, was designed for Xbox360 controllers but supports a large range of other input devices! I'd recommend playi",,
- Lover -,https://geese.itch.io/lovers-roulette,KEEP,"+death,investigation",,"Lover's Roulette A visual novel game made using RenPy. Made for Philly Game Forge May 2016 two week game jam, Death Jam. The goal was to create meaningful death in a game. Hard boiled lawyer Lawrence Davis must get to the bottom of a serial killing that has claimed the life of an old friend. Enjoy heart pounding crime scene investigation action with an original soundtrack and beautifully hand painted watercolor art. Writing Kevin Tracy, Tegan Cole, Adam Granich Programming Kevin Tracy, Keith Mag",,
---Red---Tether--,https://sleeper-games.itch.io/red-tether,?,,,"---Red---Tether--> is an action-packed âcombat-puzzleâ roguelite. You will tear massive space fleets apart , using nothing but your advanced tether harpoons. Pull and crash ships into another, rip their components off, then grapple-swing your way out of danger. Features Tether-based space combat that revolves entirely around linking yourself with opponents or them with each other. Crash massive vessels into another using your tetherâs contracting force. Manage threats and disarm ships by r",,
1 Page Dungeon - The Meat King's Palace,https://alswrites.itch.io/1-page-dungeon-palace-of-the-meat-king,KEEP,+death,,"The castle of âThe Meat Kingâ Grillis Drisrub doubled as a restaurant and was abandoned after his death over a century ago. His grandson Douglas Drisrub III wants to make it a restaurant but needs help clearing out the ghosts that haunt the place. This, short one-page dungeon can be ran on any system. Feel free to add to it. This is an entry for the Meat Circus Jam.",,
"1,000 Heads Among the Trees",https://aaronoldenburg.itch.io/1000-heads-among-the-trees,KEEP,"+dark,abstract",,"Visit a quiet town in the Peruvian desert at night searching for spirits and taking photos, then sharing these pictures with locals who free-associate based on them. This game is based on time I spent with a brujo in the desert suburb of Cachiche, a town that was founded by witches during the Peruvian Inquisition. Here descendants of witches still live and continue to practice traditional healing and fortune-telling. ""What works here is that uncertainty space... In a number of places you'll see ",,
